iter	MultiClass
0	1.353552377
1	1.321018615
2	1.294317245
3	1.272590437
4	1.254694998
5	1.236142735
6	1.214083519
7	1.194845203
8	1.179980911
9	1.163451768
10	1.151259257
11	1.138610549
12	1.127840229
13	1.117318874
14	1.10880527
15	1.100301111
16	1.090526555
17	1.077837999
18	1.066793828
19	1.057509085
20	1.047878673
21	1.041091932
22	1.034896752
23	1.025384904
24	1.017941764
25	1.009610294
26	1.001868909
27	0.9927258964
28	0.9853343138
29	0.9790365444
30	0.9709514732
31	0.964064647
32	0.9579773159
33	0.9520073955
34	0.943834264
35	0.9379364496
36	0.9314759498
37	0.9254795238
38	0.9198291416
39	0.9143210045
40	0.9083859735
41	0.9025759034
42	0.8959534788
43	0.8893024907
44	0.8845679519
45	0.8787764975
46	0.8737774388
47	0.8695214722
48	0.8644128429
49	0.8612443928
50	0.8549849996
51	0.8491268697
52	0.8451573226
53	0.8414900628
54	0.8371424663
55	0.830354258
56	0.8260470263
57	0.8213916894
58	0.815748173
59	0.80858176
60	0.8056187772
61	0.8017812219
62	0.7981152482
63	0.793427767
64	0.7867555962
65	0.7832710194
66	0.7792174091
67	0.7731420079
68	0.7691273015
69	0.7646531444
70	0.761201016
71	0.7560820689
72	0.7525458703
73	0.7493531285
74	0.7443762577
75	0.7384051469
76	0.7353225399
77	0.7314809134
78	0.727049514
79	0.723730806
80	0.7204039519
81	0.7171802778
82	0.7141743265
83	0.7089481831
84	0.7033169691
85	0.7006630994
86	0.6969455016
87	0.6930580701
88	0.6897037261
89	0.6867400323
90	0.6803984397
91	0.6752504254
92	0.6714787557
93	0.6692292744
94	0.6668463304
95	0.6619248307
96	0.6587374377
97	0.6559953428
98	0.6519786053
99	0.6492078528
100	0.6466860768
101	0.6437865164
102	0.6399028305
103	0.6360381494
104	0.6331832814
105	0.6299649592
106	0.6259899131
107	0.6220797034
108	0.6200240542
109	0.6173186821
110	0.6147579977
111	0.6105342545
112	0.6059330361
113	0.603483332
114	0.6013293601
115	0.5988719074
116	0.5950037717
117	0.5926811288
118	0.5890888225
119	0.5865768787
120	0.5841491852
121	0.5819138777
122	0.5786960655
123	0.5764293861
124	0.5745623346
125	0.5702894058
126	0.5677132031
127	0.5657343
128	0.5634535813
129	0.5603177828
130	0.558288796
131	0.5556813334
132	0.5539471805
133	0.5520412749
134	0.5500598016
135	0.5481118143
136	0.5460819798
137	0.5444475296
138	0.541990794
139	0.5397062144
140	0.5375519388
141	0.5359335606
142	0.5337929929
143	0.5318448143
144	0.5291598874
145	0.5263809337
146	0.5240866622
147	0.522904689
148	0.5196674374
149	0.517427635
150	0.516164087
151	0.5145261389
152	0.5114687676
153	0.5093911687
154	0.5076705931
155	0.5059070623
156	0.5047220967
157	0.5023366052
158	0.499167204
159	0.4981916531
160	0.4968191092
161	0.4939016183
162	0.4923865258
163	0.4907671331
164	0.4892385275
165	0.4881032807
166	0.486374129
167	0.4847807436
168	0.4836965392
169	0.4821776456
170	0.4804738263
171	0.4785995408
172	0.4769677054
173	0.4748678594
174	0.4728031076
175	0.4711279894
176	0.4689505237
177	0.467054651
178	0.4661403667
179	0.4647416279
180	0.4631157186
181	0.4617408843
182	0.4604494743
183	0.4589935121
184	0.457739429
185	0.4566738777
186	0.4554994778
187	0.4546879442
188	0.451973972
189	0.4503264421
190	0.448457788
191	0.4473993463
192	0.4456663211
193	0.4443982145
194	0.4426554288
195	0.4403862244
196	0.4385227104
197	0.4361885693
198	0.4349210337
199	0.4334906536
200	0.432420956
201	0.4312303017
202	0.4300546779
203	0.4284509875
204	0.4272145598
205	0.4254636189
206	0.4243243754
207	0.4228674613
208	0.4209267244
209	0.4195211823
210	0.4187207801
211	0.4174523587
212	0.4165310756
213	0.4146543507
214	0.4139331164
215	0.4124677737
216	0.4111101747
217	0.4100450366
218	0.4091830777
219	0.4085078594
220	0.4076495848
221	0.4054152792
222	0.403407893
223	0.4017086443
224	0.40077752
225	0.3998168269
226	0.3988535978
227	0.396694469
228	0.3950833171
229	0.3932373847
230	0.3921585836
231	0.3913767667
232	0.3907219586
233	0.389169851
234	0.3882245358
235	0.3871532521
236	0.386059482
237	0.3850398013
238	0.3838861917
239	0.3830928182
240	0.3815284779
241	0.3807050467
242	0.3798793872
243	0.3791194799
244	0.3779657345
245	0.3775560429
246	0.3763725357
247	0.3755768387
248	0.3749469499
249	0.3732777764
250	0.3725416438
251	0.3708532255
252	0.3702106574
253	0.3693290868
254	0.3673244693
255	0.3660745827
256	0.3651165431
257	0.3645281784
258	0.363897509
259	0.3631324823
260	0.3622905417
261	0.3611624118
262	0.3605610373
263	0.3600958041
264	0.3587764916
265	0.3579835799
266	0.3564349398
267	0.3553251686
268	0.3542448954
269	0.3529852404
270	0.3524938892
271	0.3518930268
272	0.3509730099
273	0.3497922362
274	0.3491824675
275	0.348565728
276	0.3475016663
277	0.3467063606
278	0.3459957986
279	0.3445077586
280	0.3435586409
281	0.3424960587
282	0.3421585622
283	0.3416293981
284	0.3402472596
285	0.3394227369
286	0.3383178259
287	0.3372477933
288	0.3366069252
289	0.3352310463
290	0.3346714329
291	0.3338979703
292	0.3333085378
293	0.3323710539
294	0.3317422357
295	0.3305722802
296	0.3297172845
297	0.329034798
298	0.3282302933
299	0.3276029266
300	0.3269452307
301	0.3263029415
302	0.3258027882
303	0.3252655125
304	0.3245383112
305	0.3240167545
306	0.3227039262
307	0.3220718167
308	0.3206993826
309	0.3201377152
310	0.3196118027
311	0.318956051
312	0.3186907835
313	0.3177644591
314	0.3167155477
315	0.3153802611
316	0.3145492726
317	0.3138430615
318	0.3130036162
319	0.3123437481
320	0.3118839634
321	0.3109218255
322	0.3101296156
323	0.309216167
324	0.3084376433
325	0.3074522462
326	0.3067429132
327	0.3058577535
328	0.305459582
329	0.3047222707
330	0.3039744943
331	0.3034458308
332	0.3028628256
333	0.3023015883
334	0.3012653232
335	0.300853227
336	0.3003622354
337	0.2998860427
338	0.2991304306
339	0.298152032
340	0.2976514835
341	0.2971933098
342	0.2968103933
343	0.2964446422
344	0.2956802881
345	0.2947532411
346	0.2943004309
347	0.2936602349
348	0.2931585953
349	0.292658067
350	0.2919004434
351	0.2916416431
352	0.291256795
353	0.2910226671
354	0.2908080864
355	0.2903845415
356	0.2897883764
357	0.2891858185
358	0.2880382089
359	0.2876428198
360	0.2871736238
361	0.2867546936
362	0.286360548
363	0.2855512384
364	0.285100801
365	0.2843847321
366	0.2839655005
367	0.2826056339
368	0.2822781482
369	0.2814939769
370	0.2804771283
371	0.2798382635
372	0.2794657511
373	0.2785565226
374	0.2779849883
375	0.2774362542
376	0.2772426179
377	0.2769078911
378	0.2763658277
379	0.2751666218
380	0.2746559416
381	0.2743096861
382	0.2736328076
383	0.2727327782
384	0.271665938
385	0.27070226
386	0.2700277362
387	0.2693937012
388	0.269062465
389	0.2687911864
390	0.2683916799
391	0.2678742082
392	0.2673987868
393	0.2671075921
394	0.2665725245
395	0.2656712017
396	0.2651662734
397	0.264670236
398	0.2638453538
399	0.2636093002
400	0.2629532
401	0.2620815812
402	0.2616245158
403	0.260928999
404	0.2605571575
405	0.2596892814
406	0.2592530788
407	0.2587121203
408	0.2582221899
409	0.2577663189
410	0.2569486933
411	0.2564755019
412	0.2556459953
413	0.2554847259
414	0.2546169545
415	0.2539053661
416	0.2535082365
417	0.2527525892
418	0.2519923004
419	0.2509487801
420	0.250483036
421	0.2499296564
422	0.2496791066
423	0.2490499042
424	0.2482770291
425	0.2480736852
426	0.2477347397
427	0.2474189192
428	0.2469203018
429	0.2465541567
430	0.2459390947
431	0.2455711117
432	0.2447905309
433	0.2440968347
434	0.2438469166
435	0.2431914503
436	0.2425450068
437	0.2421196209
438	0.2415709746
439	0.2412939836
440	0.2409293283
441	0.2404969092
442	0.2398785713
443	0.2390860111
444	0.238262382
445	0.2380550153
446	0.2376520633
447	0.2373744596
448	0.2371325559
449	0.2368464026
450	0.2363516015
451	0.2354479732
452	0.235043342
453	0.2347863755
454	0.2344631952
455	0.2342613598
456	0.2338299018
457	0.2331759449
458	0.2325462255
459	0.2321841283
460	0.2314493648
461	0.2309947544
462	0.2303402063
463	0.2301590347
464	0.2296393063
465	0.2291738715
466	0.2289388604
467	0.2284822538
468	0.228203618
469	0.2279443429
470	0.2274101675
471	0.2269232536
472	0.225951919
473	0.2253980794
474	0.2248363103
475	0.2245757882
476	0.2237749812
477	0.2235346103
478	0.2233244611
479	0.2229991635
480	0.2223173897
481	0.2220572221
482	0.2215811607
483	0.2210186325
484	0.2204015304
485	0.2199621449
486	0.2197939749
487	0.219454977
488	0.2185896465
489	0.2182833904
490	0.2179506253
491	0.2175542324
492	0.2173209286
493	0.216982084
494	0.2168223546
495	0.2164432128
496	0.2162437112
497	0.2161009328
498	0.2157265034
499	0.215319158
500	0.2147488862
501	0.2141273305
502	0.2136560827
503	0.2128276987
504	0.2124666271
505	0.2121420386
506	0.2115880157
507	0.2113597101
508	0.2111208588
509	0.2103702343
510	0.2098289681
511	0.2092564858
512	0.2090914068
513	0.2086814965
514	0.2084605215
515	0.208188368
516	0.2076263935
517	0.2074229739
518	0.2071158471
519	0.2066016678
520	0.2062459128
521	0.2059228932
522	0.2052450517
523	0.2047611489
524	0.2042455028
525	0.2037212693
526	0.2035226665
527	0.2030889688
528	0.2027237844
529	0.2022698507
530	0.2020394227
531	0.2017414326
532	0.2014040491
533	0.2008948515
534	0.2004163502
535	0.2001383696
536	0.1998477862
537	0.1993762401
538	0.1991006078
539	0.1985680127
540	0.1981813244
541	0.1980059331
542	0.1973799208
543	0.1965669393
544	0.1960772578
545	0.1958451004
546	0.1956336789
547	0.1953473266
548	0.1951243993
549	0.1948992819
550	0.1946478434
551	0.1944533313
552	0.1942418916
553	0.1935062061
554	0.1931887442
555	0.1924796034
556	0.1921914523
557	0.1918775875
558	0.1915484462
559	0.1913778209
560	0.1912236803
561	0.190767775
562	0.1904272333
563	0.1901204726
564	0.1897828909
565	0.1894937462
566	0.1892591885
567	0.1888078219
568	0.1885677536
569	0.1883430524
570	0.1880060254
571	0.1877702614
572	0.1874955565
573	0.1872266828
574	0.1865373297
575	0.1861028333
576	0.1859833754
577	0.1856714563
578	0.1853770903
579	0.1849485857
580	0.1843282123
581	0.1837901765
582	0.1832835022
583	0.1825985743
584	0.1823256683
585	0.1820404248
586	0.1815728794
587	0.1813134181
588	0.181017666
589	0.1807295428
590	0.1805509073
591	0.1803551586
592	0.1801412805
593	0.179693254
594	0.1794230128
595	0.179040723
596	0.17879731
597	0.1782604603
598	0.178050184
599	0.1778356925
600	0.1776191777
601	0.1770276048
602	0.1768026421
603	0.176689656
604	0.176290196
605	0.1760787843
606	0.1756679956
607	0.1755236383
608	0.1750247678
609	0.1747329696
610	0.1742886565
611	0.1738854632
612	0.1735673367
613	0.1727668093
614	0.1723710722
615	0.1720012179
616	0.1718717994
617	0.1715140385
618	0.1713714638
619	0.1709502452
620	0.1705277104
621	0.1699734593
622	0.1697650504
623	0.1696481082
624	0.1692891845
625	0.1690719483
626	0.1688498213
627	0.1685553137
628	0.1681124052
629	0.1677301213
630	0.1671913264
631	0.1669674216
632	0.1665487181
633	0.1659684572
634	0.1657127749
635	0.1653825584
636	0.1649407231
637	0.1648054463
638	0.1644349463
639	0.1638351587
640	0.1632275649
641	0.1628505966
642	0.1622527614
643	0.1619931173
644	0.1616565664
645	0.1614811737
646	0.1613684164
647	0.1611904056
648	0.160970007
649	0.1604415262
650	0.1601124314
651	0.1596609412
652	0.1594485672
653	0.1593263857
654	0.1589292206
655	0.1586211786
656	0.1583559108
657	0.1581468716
658	0.1580438351
659	0.1577379695
660	0.1573644028
661	0.156955252
662	0.156733626
663	0.156545062
664	0.1563599828
665	0.1559858815
666	0.155792937
667	0.1554097691
668	0.155193605
669	0.1549525735
670	0.1544336989
671	0.1541890702
672	0.1540176066
673	0.1538843396
674	0.1537814855
675	0.153368256
676	0.153014665
677	0.1529373446
678	0.1525878443
679	0.1523130263
680	0.1520864384
681	0.151928845
682	0.1516023215
683	0.1511217794
684	0.1509823211
685	0.1508191588
686	0.1506287099
687	0.150507532
688	0.1499196744
689	0.1495730975
690	0.1493952702
691	0.149078963
692	0.1486808646
693	0.148623593
694	0.1484370271
695	0.1483247735
696	0.148193342
697	0.1478488344
698	0.1477437495
699	0.1475276921
700	0.147266243
701	0.1471848653
702	0.1470620088
703	0.1467594667
704	0.1466468131
705	0.1464884658
706	0.1462785071
707	0.1461643991
708	0.1459921894
709	0.1457519766
710	0.1456493298
711	0.145280328
712	0.1448777408
713	0.1445401249
714	0.1444594655
715	0.1440528264
716	0.1438103456
717	0.1434417668
718	0.1429743348
719	0.1426375249
720	0.1424884079
721	0.142374535
722	0.1422369282
723	0.1420456398
724	0.1418990764
725	0.1416107786
726	0.1414841279
727	0.1413803384
728	0.1412022374
729	0.140761235
730	0.1404506834
731	0.140422213
732	0.1399247649
733	0.1397815573
734	0.1396855088
735	0.1394231519
736	0.1389446365
737	0.1387165673
738	0.138238222
739	0.1378033362
740	0.1376633257
741	0.1374938632
742	0.1373460546
743	0.1370480607
744	0.1368102699
745	0.1363784424
746	0.1361823873
747	0.1358422938
748	0.1354248935
749	0.135097475
750	0.134992137
751	0.1348148492
752	0.1346708607
753	0.1345107464
754	0.1343132868
755	0.1340108987
756	0.1338861066
757	0.1337867195
758	0.1334643193
759	0.1333140731
760	0.1331941215
761	0.13298846
762	0.1329160627
763	0.1326348667
764	0.132521053
765	0.1320601832
766	0.1318868327
767	0.131753391
768	0.1317049554
769	0.131403138
770	0.1313022772
771	0.1310838301
772	0.1307167633
773	0.1305079192
774	0.1303761756
775	0.1300313899
776	0.1298721078
777	0.1297666249
778	0.129576778
779	0.129489097
780	0.1292281298
781	0.1291449898
782	0.1288067495
783	0.1285541583
784	0.1281471624
785	0.1279764943
786	0.1277335549
787	0.1275685908
788	0.127460209
789	0.1273255711
790	0.1272607547
791	0.1271241559
792	0.1269959357
793	0.1265728471
794	0.1264327674
795	0.1263445632
796	0.1260545542
797	0.1258779366
798	0.125636373
799	0.1254818723
800	0.1251767837
801	0.1249375619
802	0.1245600014
803	0.1242135668
804	0.1239410499
805	0.1236864697
806	0.1234460025
807	0.1233244706
808	0.1232371547
809	0.1231442506
810	0.1227223722
811	0.1224667401
812	0.1223170661
813	0.1220737391
814	0.121910988
815	0.1218072931
816	0.1216337765
817	0.1215246101
818	0.121225202
819	0.1207862496
820	0.1206928458
821	0.1205241206
822	0.1203015561
823	0.1202064318
824	0.1201074806
825	0.1199592442
826	0.1198319713
827	0.1195761381
828	0.1190819141
829	0.1190262869
830	0.1187547964
831	0.1185207265
832	0.1183942618
833	0.1182564954
834	0.1180979087
835	0.1176754763
836	0.117536244
837	0.1174603619
838	0.1173688292
839	0.1173200923
840	0.1171643085
841	0.1170905793
842	0.1168350845
843	0.1164259484
844	0.1162353074
845	0.116102193
846	0.1159548255
847	0.1158191978
848	0.1156996506
849	0.1155694937
850	0.1152428252
851	0.1150738722
852	0.1149876072
853	0.1149182826
854	0.1145881885
855	0.1144560154
856	0.1141188274
857	0.1140501815
858	0.1138532656
859	0.113755637
860	0.1134645899
861	0.1133886614
862	0.1131852672
863	0.11299526
864	0.1128814793
865	0.1127709481
866	0.112700085
867	0.1126633527
868	0.1123952151
869	0.1122031858
870	0.1119548929
871	0.1117358544
872	0.1116478802
873	0.1114853184
874	0.1112396117
875	0.1108888213
876	0.1106284396
877	0.1104031696
878	0.1101276376
879	0.1099063675
880	0.1097668209
881	0.1096960153
882	0.1094995802
883	0.109360596
884	0.1092798685
885	0.1092263344
886	0.1091662234
887	0.1090554069
888	0.1089109041
889	0.1088026293
890	0.1086765803
891	0.1084851562
892	0.1083303171
893	0.1080749147
894	0.1079322612
895	0.1077733007
896	0.1074790641
897	0.1073464038
898	0.1071729847
899	0.1068728792
900	0.1066484785
901	0.1065007406
902	0.1063857473
903	0.106268772
904	0.1061513666
905	0.106060264
906	0.105928363
907	0.1057542282
908	0.1054633205
909	0.1052813298
910	0.1051886871
911	0.105083353
912	0.1048018828
913	0.1046843804
