iter	Passed	Remaining
0	17	17543
1	33	16876
2	46	15331
3	55	13845
4	64	12913
5	74	12386
6	87	12354
7	94	11769
8	103	11348
9	110	10957
10	119	10759
11	127	10481
12	137	10429
13	146	10289
14	154	10148
15	162	9994
16	171	9929
17	179	9815
18	189	9767
19	198	9711
20	207	9670
21	220	9806
22	230	9781
23	239	9731
24	246	9626
25	255	9582
26	264	9528
27	273	9480
28	283	9487
29	292	9452
30	303	9481
31	319	9657
32	328	9617
33	337	9575
34	350	9671
35	359	9626
36	367	9570
37	379	9613
38	390	9628
39	400	9615
40	409	9585
41	418	9556
42	432	9618
43	445	9676
44	454	9645
45	463	9622
46	474	9620
47	482	9559
48	490	9510
49	499	9490
50	508	9465
51	518	9457
52	527	9431
53	539	9442
54	552	9489
55	564	9523
56	578	9567
57	589	9572
58	600	9581
59	612	9596
60	625	9634
61	637	9649
62	645	9602
63	656	9607
64	669	9631
65	676	9577
66	686	9558
67	694	9514
68	702	9479
69	710	9437
70	718	9404
71	732	9434
72	739	9390
73	748	9367
74	758	9348
75	767	9326
76	774	9287
77	783	9256
78	791	9225
79	799	9192
80	806	9148
81	814	9120
82	822	9085
83	831	9063
84	838	9029
85	847	9003
86	854	8970
87	867	8986
88	873	8945
89	882	8922
90	890	8894
91	898	8868
92	905	8829
93	914	8813
94	921	8779
95	929	8755
96	942	8776
97	951	8755
98	961	8747
99	970	8731
100	977	8702
101	985	8678
102	995	8667
103	1004	8652
104	1012	8630
105	1020	8609
106	1029	8588
107	1039	8582
108	1049	8582
109	1059	8571
110	1068	8557
111	1078	8549
112	1086	8528
113	1094	8503
114	1101	8476
115	1109	8452
116	1116	8427
117	1127	8427
118	1136	8413
119	1143	8386
120	1152	8372
121	1159	8342
122	1167	8322
123	1174	8297
124	1186	8303
125	1193	8281
126	1202	8263
127	1208	8231
128	1216	8216
129	1224	8197
130	1232	8173
131	1238	8146
132	1247	8130
133	1254	8104
134	1263	8098
135	1270	8072
136	1278	8052
137	1284	8026
138	1292	8005
139	1300	7987
140	1307	7967
141	1315	7951
142	1324	7937
